"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Mar 13 14:12:38 UTC 2023","Mon Mar 13 14:12:43 UTC 2023","5079","","Contact Us message: Sending the Contact Us message with valid credentials","","Contact Us message: Sending the Contact Us message with valid credentials","When I fill out the Contact Us message form with valid credentials","When I fill out the Contact Us message form with valid credentials",""
"passed","Mon Mar 13 14:14:13 UTC 2023","Mon Mar 13 14:14:13 UTC 2023","31","","Sign up: Sign up with invalid credentials","","Sign up: Sign up with invalid credentials","Then I not signed up due to invalid credentials","Then I not signed up due to invalid credentials",""
"passed","Mon Mar 13 14:13:38 UTC 2023","Mon Mar 13 14:13:41 UTC 2023","3247","","Partnership message: Sending the Partnership message with valid credentials","","Partnership message: Sending the Partnership message with valid credentials","When I fill out the Partnership message form with valid credentials","When I fill out the Partnership message form with valid credentials",""
"passed","Mon Mar 13 14:14:25 UTC 2023","Mon Mar 13 14:14:25 UTC 2023","1","","Sign up: Accepting cookies","","Sign up: Accepting cookies","","",""
"passed","Mon Mar 13 14:12:27 UTC 2023","Mon Mar 13 14:12:29 UTC 2023","2808","","Contact Us message: Accepting cookies","","Contact Us message: Accepting cookies","Given I open the site ""/contact-us""","Given I open the site ""/contact-us""",""
"passed","Mon Mar 13 14:14:24 UTC 2023","Mon Mar 13 14:14:25 UTC 2023","1000","","Sign up: Accepting cookies","","Sign up: Accepting cookies","Given I accept cookies","Given I accept cookies",""
"passed","Mon Mar 13 14:14:07 UTC 2023","Mon Mar 13 14:14:07 UTC 2023","373","","Sign up: Accepting cookies","","Sign up: Accepting cookies","Given I accept cookies","Given I accept cookies",""
"passed","Mon Mar 13 14:13:32 UTC 2023","Mon Mar 13 14:13:32 UTC 2023","48","","Login: Login with invalid credentials","","Login: Login with invalid credentials","Then I not logged in due to invalid credentials","Then I not logged in due to invalid credentials",""
"passed","Mon Mar 13 14:14:31 UTC 2023","Mon Mar 13 14:14:31 UTC 2023","1","","Sign up: Sign up with valid credentials","","Sign up: Sign up with valid credentials","","",""
"passed","Mon Mar 13 14:13:53 UTC 2023","Mon Mar 13 14:13:54 UTC 2023","1249","","Partnership message: Accepting cookies","","Partnership message: Accepting cookies","Given I accept cookies","Given I accept cookies",""
"passed","Mon Mar 13 14:12:59 UTC 2023","Mon Mar 13 14:13:01 UTC 2023","1196","","Contact Us message: Sending the Contact Us message with valid credentials","","Contact Us message: Sending the Contact Us message with valid credentials","Given I open the site ""/contact-us""","Given I open the site ""/contact-us""",""
"passed","Mon Mar 13 14:12:30 UTC 2023","Mon Mar 13 14:12:30 UTC 2023","1","","Contact Us message: Accepting cookies","","Contact Us message: Accepting cookies","","",""
"passed","Mon Mar 13 14:14:34 UTC 2023","Mon Mar 13 14:14:37 UTC 2023","3157","","Support Center search: Searching for results","","Support Center search: Searching for results","Given I open the site ""https://support.telnyx.com/""","Given I open the site ""https://support.telnyx.com/""",""
